Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
22357500,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22358540,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22359560,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22360580,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22361414,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22362453,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22363287,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22364308,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22365335,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22366160,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22367325,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22368110,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22369136,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22370692,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22371083,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22371939,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22372953,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22373777,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22374789,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22375803,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22376816,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22377642,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22378656,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22379669,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22380680,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22381505,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22382517,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22383529,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22384350,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22385369,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22386381,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22387197,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22388210,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22389231,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22390794,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22391133,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22392174,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22393018,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22393992,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22395015,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22396037,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22396979,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22397809,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22398833,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22399853,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22400681,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22401710,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22402730,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22403557,000000B6,false,Rx,0,8,00,00,00,00,00,FF,00,A0,
22404580,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22405608,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22406437,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
22407460,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22408482,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22409330,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22410880,000001A8,false,Rx,0,8,00,00,00,00,00,00,A0,00,
22411247,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22412284,00000036,false,Rx,0,8,00,00,06,2F,00,80,00,00,
22413300,00000128,false,Rx,0,8,00,00,00,00,00,A0,00,00,
22414118,00000161,false,Rx,0,7,00,00,00,00,00,00,00,00,
22415132,000001A1,false,Rx,0,8,00,8B,C6,00,00,00,00,00,
22416144,000003F6,false,Rx,0,7,00,00,00,00,00,C0,00,00,
